,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS
2011-01-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-04-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-07-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2011-10-11,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-01-13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-04-18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-07-17,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2012-10-18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-01-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-04-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-07-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2013-10-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-01-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-05-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-08-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2014-11-12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-02-11,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-05-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-08-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2015-11-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-02-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-05-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-08-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2016-11-30,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-03-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-06-02,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-09-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2017-12-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-06-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-09-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-12-12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-03-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-06-20,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-09-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-12-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-03-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-07-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-09-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-12-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-03-31,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-07-02,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-10-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-01-04,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-04-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-07-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-10-10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-01-09,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-04-13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-07-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-10-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-01-17,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-04-24,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-07-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-10-25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
