,000651.SZ,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600276.SS,600309.SS,300059.SZ
2019-06-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-09-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2019-12-31,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-04-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-07-13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-10-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-01-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-04-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-07-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-10-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-01-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-05-10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-08-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-11-11,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-02-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-05-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-08-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2023-11-24,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-03-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-06-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-09-03,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2024-12-10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
